Name, Phone, Address
Cypress Lakes Resort by Oaks Hotels & Resorts, "<a href=""#"" class=""tl-phone-clip stop-link"" title=""Click to show number"" phonetype=""national"" phonenumber=""1300 886 091"" listingid=""0.32107139678073"" clickfrom=""SEARCH_RESULT"" > 				 	1300 886 ... 				 </a>", "Cnr McDonalds & Thompsons Rds, Pokolbin, NSW, 2320" 
Cypress Lakes Resort by Oaks Hotels & Resorts, "<a href=""#"" class=""tl-phone-clip stop-link"" title=""Click to show number"" phonetype=""national"" phonenumber=""1300 886 091"" listingid=""0.32107139678073"" clickfrom=""SEARCH_RESULT"" > 				 	1300 886 ... 				 </a>", "Cnr McDonalds & Thompsons Rds, Pokolbin, NSW, 2320" 
BEST WESTERN Central Motel & Apartments, "<a href=""#"" class=""tl-phone-clip stop-link"" title=""Click to show number"" phonetype=""local"" phonenumber=""(02) 6298 8988"" listingid=""0.50287036727427"" clickfrom=""SEARCH_RESULT"" > 				 	(02) 6298 8... 				 </a>", "11 Antill St, Queanbeyan, NSW, 2620" 
BEST WESTERN Central Motel & Apartments, "<a href=""#"" class=""tl-phone-clip stop-link"" title=""Click to show number"" phonetype=""local"" phonenumber=""(02) 6298 8988"" listingid=""0.50287036727427"" clickfrom=""SEARCH_RESULT"" > 				 	(02) 6298 8... 				 </a>", "11 Antill St, Queanbeyan, NSW, 2620" 
Best Western Australasia, "<a href=""#"" class=""tl-phone-clip stop-link"" title=""Click to show number"" phonetype=""local"" phonenumber=""13 17 79"" listingid=""0.03469787120884"" clickfrom=""SEARCH_RESULT"" > 				 	13 17... 				 </a>", "North Sydney, NSW, 2060" 
Best Western Australasia, "<a href=""#"" class=""tl-phone-clip stop-link"" title=""Click to show number"" phonetype=""local"" phonenumber=""13 17 79"" listingid=""0.03469787120884"" clickfrom=""SEARCH_RESULT"" > 				 	13 17... 				 </a>", "North Sydney, NSW, 2060" 
Oaks on Castlereagh, "<a href=""#"" class=""tl-phone-clip stop-link"" title=""Click to show number"" phonetype=""national"" phonenumber=""1300 080 292"" listingid=""0.46771503494001"" clickfrom=""SEARCH_RESULT"" > 				 	1300 080 ... 				 </a>", "317 Castlereagh Street, Haymarket, Sydney, NSW, 2000" 
Oaks on Castlereagh, "<a href=""#"" class=""tl-phone-clip stop-link"" title=""Click to show number"" phonetype=""national"" phonenumber=""1300 080 292"" listingid=""0.46771503494001"" clickfrom=""SEARCH_RESULT"" > 				 	1300 080 ... 				 </a>", "317 Castlereagh Street, Haymarket, Sydney, NSW, 2000" 
Albury Central Short Term Serviced Apartments, "<a href=""#"" class=""tl-phone-clip stop-link"" title=""Click to show number"" phonetype=""local"" phonenumber=""(02) 6023 5777"" listingid=""0.05916290576313"" clickfrom=""SEARCH_RESULT"" > 				 	(02) 6023 5... 				 </a>", "419 David St, Albury, NSW, 2640" 
Albury Central Short Term Serviced Apartments, "<a href=""#"" class=""tl-phone-clip stop-link"" title=""Click to show number"" phonetype=""local"" phonenumber=""(02) 6023 5777"" listingid=""0.05916290576313"" clickfrom=""SEARCH_RESULT"" > 				 	(02) 6023 5... 				 </a>", "419 David St, Albury, NSW, 2640" 
